0, True, True, 0.971143,0.986799,0.995342,
1, True, True, 0.987827,0.990204,0.997153,
2, True, True, 0.976506,0.997340,0.996842,
3, True, True, 0.972723,0.985291,0.989410,
4, True, True, 0.988280,0.985495,0.991852,
5, True, True, 0.989973,0.986017,0.992611,
6, True, True, 0.990773,0.996941,0.996429,
7, True, True, 0.994130,0.988699,0.992615,
8, True, True, 0.982464,0.993750,0.996714,
9, True, True, 0.933833,0.988716,0.988010,
10, True, True, 0.916898,0.976660,0.882686,
11, True, True, 0.982538,0.961526,0.982054,
12, True, True, 0.980000,0.981889,0.993108,
13, True, True, 0.972723,0.992246,0.991930,
14, True, True, 0.989199,0.978695,0.946544,
15, True, True, 0.958103,0.971292,0.985506,
16, True, True, 0.980907,0.984031,0.995258,
17, True, True, 0.981127,0.988680,0.967156,
18, True, True, 0.958790,0.975149,0.985873,
19, True, True, 0.996324,0.992028,0.981549,
20, True, True, 0.973709,0.989291,0.994584,
21, True, True, 0.984647,0.989850,0.989590,
22, True, True, 0.972337,0.976224,0.992894,
23, True, True, 0.986507,0.989485,0.995849,
24, True, True, 0.985973,0.994442,0.992524,
25, True, True, 0.984902,0.989330,0.966173,
26, True, True, 0.978954,0.982670,0.972174,
27, True, True, 0.980880,0.977684,0.965909,
28, True, True, 0.980157,0.995047,0.997867,
29, True, True, 0.981197,0.991691,0.993091,
30, True, True, 0.990547,0.983457,0.996405,
31, True, True, 0.972019,0.983807,0.995711,
32, True, True, 0.984402,0.996733,0.994963,
33, True, True, 0.981380,0.985549,0.996534,
34, True, True, 0.977932,0.981510,0.985700,
35, True, True, 0.991582,0.985941,0.974474,
36, True, True, 0.984651,0.978959,0.995864,
37, True, True, 0.977779,0.988883,0.994301,
38, True, True, 0.979503,0.984377,0.975690,
39, True, True, 0.978722,0.987107,0.997007,
40, True, True, 0.973863,0.946752,0.967205,
41, True, True, 0.971031,0.958991,0.987834,
42, True, True, 0.993602,0.987750,0.984719,
43, True, True, 0.991261,0.993692,0.998697,
44, True, True, 0.987698,0.978433,0.988685,
45, True, True, 0.987809,0.984572,0.996080,
46, True, True, 0.984492,0.987548,0.991897,
47, True, False, 0.972369,0.957990,0.970537,
48, True, True, 0.967924,0.987197,0.977932,
49, True, True, 0.977618,0.994645,0.992534,
50, True, True, 0.976839,0.981249,0.993076,
51, True, True, 0.991633,0.986234,0.995300,
52, True, True, 0.960525,0.985274,0.982847,
53, True, False, 0.975207,0.959292,0.979724,
54, True, True, 0.984912,0.994157,0.998706,
55, True, True, 0.980677,0.989205,0.996928,
56, True, True, 0.978604,0.991927,0.997754,
57, True, True, 0.965759,0.976077,0.973137,
58, True, True, 0.991749,0.992824,0.975892,
59, True, True, 0.981573,0.978991,0.991317,
60, True, True, 0.987413,0.983042,0.987125,
61, True, True, 0.989622,0.991561,0.997546,
62, True, True, 0.982436,0.990965,0.998106,
63, True, True, 0.978677,0.997877,0.990068,
64, True, True, 0.978396,0.993579,0.998405,
65, True, True, 0.990728,0.992451,0.996247,
66, True, True, 0.989086,0.987604,0.994757,
67, True, True, 0.974661,0.980557,0.989214,
68, True, True, 0.987893,0.994057,0.995895,
69, False, False, 0.980782,0.963838,0.945270,
70, True, True, 0.985726,0.985858,0.987459,
71, True, True, 0.979101,0.991687,0.999305,
72, True, True, 0.978693,0.985347,0.991484,
73, True, True, 0.977954,0.969248,0.991327,
74, True, True, 0.980455,0.998467,0.994456,
75, True, True, 0.989054,0.990550,0.998109,
76, True, True, 0.973194,0.987178,0.998581,
77, True, True, 0.969476,0.987665,0.984757,
78, True, True, 0.990846,0.991638,0.994498,
79, True, True, 0.984736,0.990804,0.991978,
80, True, True, 0.978440,0.949206,0.930980,
81, True, True, 0.981891,0.979081,0.992399,
82, True, True, 0.989494,0.991505,0.993092,
83, False, False, 0.968821,0.988016,0.974805,
84, True, True, 0.983723,0.995057,0.998075,
85, True, True, 0.962545,0.993147,0.997150,
86, True, True, 0.993532,0.991072,0.993730,
87, True, True, 0.988439,0.987092,0.985380,
88, True, True, 0.987050,0.988004,0.995894,
89, True, True, 0.974416,0.992203,0.990902,
90, True, True, 0.979908,0.995309,0.994932,
91, True, True, 0.974855,0.984022,0.971133,
92, True, True, 0.983998,0.978739,0.995219,
93, True, True, 0.992332,0.978339,0.969763,
94, True, True, 0.986811,0.995308,0.996494,
95, True, True, 0.987376,0.985662,0.986381,
