6
epoch [1/500], loss:2.1802 Accuracy: 9664/50000
epoch [2/500], loss:1.8855 Accuracy: 16364/50000
epoch [3/500], loss:1.7667 Accuracy: 18326/50000
epoch [4/500], loss:1.6820 Accuracy: 19661/50000
epoch [5/500], loss:1.6192 Accuracy: 20749/50000
epoch [6/500], loss:1.5761 Accuracy: 21597/50000
epoch [7/500], loss:1.5471 Accuracy: 22033/50000
epoch [8/500], loss:1.5240 Accuracy: 22533/50000
epoch [9/500], loss:1.5055 Accuracy: 22874/50000
epoch [10/500], loss:1.4887 Accuracy: 23200/50000
epoch [11/500], loss:1.4749 Accuracy: 23453/50000
epoch [12/500], loss:1.4603 Accuracy: 23679/50000
epoch [13/500], loss:1.4484 Accuracy: 23927/50000
epoch [14/500], loss:1.4364 Accuracy: 24155/50000
epoch [15/500], loss:1.4253 Accuracy: 24319/50000
epoch [16/500], loss:1.4151 Accuracy: 24495/50000
epoch [17/500], loss:1.4054 Accuracy: 24671/50000
epoch [18/500], loss:1.3958 Accuracy: 24946/50000
epoch [19/500], loss:1.3871 Accuracy: 25155/50000
epoch [20/500], loss:1.3790 Accuracy: 25173/50000
epoch [21/500], loss:1.3716 Accuracy: 25420/50000
epoch [22/500], loss:1.3639 Accuracy: 25505/50000
epoch [23/500], loss:1.3569 Accuracy: 25639/50000
epoch [24/500], loss:1.3499 Accuracy: 25793/50000
epoch [25/500], loss:1.3438 Accuracy: 25972/50000
epoch [26/500], loss:1.3376 Accuracy: 26047/50000
epoch [27/500], loss:1.3306 Accuracy: 26175/50000
epoch [28/500], loss:1.3253 Accuracy: 26305/50000
epoch [29/500], loss:1.3200 Accuracy: 26426/50000
epoch [30/500], loss:1.3134 Accuracy: 26439/50000
epoch [31/500], loss:1.3073 Accuracy: 26523/50000
epoch [32/500], loss:1.3031 Accuracy: 26720/50000
epoch [33/500], loss:1.2978 Accuracy: 26834/50000
epoch [34/500], loss:1.2926 Accuracy: 26947/50000
epoch [35/500], loss:1.2864 Accuracy: 26939/50000
epoch [36/500], loss:1.2817 Accuracy: 27159/50000
epoch [37/500], loss:1.2766 Accuracy: 27214/50000
epoch [38/500], loss:1.2721 Accuracy: 27301/50000
epoch [39/500], loss:1.2676 Accuracy: 27326/50000
epoch [40/500], loss:1.2621 Accuracy: 27412/50000
epoch [41/500], loss:1.2580 Accuracy: 27569/50000
epoch [42/500], loss:1.2539 Accuracy: 27620/50000
epoch [43/500], loss:1.2489 Accuracy: 27646/50000
epoch [44/500], loss:1.2447 Accuracy: 27890/50000
epoch [45/500], loss:1.2414 Accuracy: 27846/50000
epoch [46/500], loss:1.2367 Accuracy: 27956/50000
epoch [47/500], loss:1.2329 Accuracy: 28045/50000
epoch [48/500], loss:1.2293 Accuracy: 28115/50000
epoch [49/500], loss:1.2244 Accuracy: 28180/50000
epoch [50/500], loss:1.2215 Accuracy: 28203/50000
epoch [51/500], loss:1.2175 Accuracy: 28319/50000
epoch [52/500], loss:1.2136 Accuracy: 28455/50000
epoch [53/500], loss:1.2112 Accuracy: 28459/50000
epoch [54/500], loss:1.2065 Accuracy: 28521/50000
epoch [55/500], loss:1.2037 Accuracy: 28746/50000
epoch [56/500], loss:1.2013 Accuracy: 28655/50000
epoch [57/500], loss:1.1974 Accuracy: 28787/50000
epoch [58/500], loss:1.1938 Accuracy: 28809/50000
epoch [59/500], loss:1.1908 Accuracy: 28870/50000
epoch [60/500], loss:1.1869 Accuracy: 29019/50000
epoch [61/500], loss:1.1845 Accuracy: 29036/50000
epoch [62/500], loss:1.1817 Accuracy: 29008/50000
epoch [63/500], loss:1.1797 Accuracy: 29159/50000
