9 9 8
epoch [1/4000], loss:2.1721 Accuracy: 9678/50000
epoch [2/4000], loss:1.8941 Accuracy: 15930/50000
epoch [3/4000], loss:1.7796 Accuracy: 18003/50000
epoch [4/4000], loss:1.7070 Accuracy: 19138/50000
epoch [5/4000], loss:1.6562 Accuracy: 19993/50000
epoch [6/4000], loss:1.6197 Accuracy: 20465/50000
epoch [7/4000], loss:1.5904 Accuracy: 21033/50000
epoch [8/4000], loss:1.5671 Accuracy: 21497/50000
epoch [9/4000], loss:1.5470 Accuracy: 21850/50000
epoch [10/4000], loss:1.5292 Accuracy: 22126/50000
epoch [11/4000], loss:1.5117 Accuracy: 22652/50000
epoch [12/4000], loss:1.4958 Accuracy: 22983/50000
epoch [13/4000], loss:1.4823 Accuracy: 23219/50000
epoch [14/4000], loss:1.4679 Accuracy: 23526/50000
epoch [15/4000], loss:1.4552 Accuracy: 23812/50000
epoch [16/4000], loss:1.4428 Accuracy: 23999/50000
epoch [17/4000], loss:1.4294 Accuracy: 24318/50000
epoch [18/4000], loss:1.4167 Accuracy: 24584/50000
epoch [19/4000], loss:1.4047 Accuracy: 24834/50000
epoch [20/4000], loss:1.3936 Accuracy: 24957/50000
epoch [21/4000], loss:1.3842 Accuracy: 25191/50000
epoch [22/4000], loss:1.3735 Accuracy: 25411/50000
epoch [23/4000], loss:1.3661 Accuracy: 25541/50000
epoch [24/4000], loss:1.3582 Accuracy: 25696/50000
epoch [25/4000], loss:1.3508 Accuracy: 25875/50000
epoch [26/4000], loss:1.3435 Accuracy: 26068/50000
epoch [27/4000], loss:1.3374 Accuracy: 26130/50000
epoch [28/4000], loss:1.3304 Accuracy: 26316/50000
epoch [29/4000], loss:1.3254 Accuracy: 26424/50000
epoch [30/4000], loss:1.3185 Accuracy: 26613/50000
epoch [31/4000], loss:1.3124 Accuracy: 26691/50000
epoch [32/4000], loss:1.3074 Accuracy: 26673/50000
epoch [33/4000], loss:1.3015 Accuracy: 26788/50000
epoch [34/4000], loss:1.2956 Accuracy: 26932/50000
epoch [35/4000], loss:1.2909 Accuracy: 27011/50000
epoch [36/4000], loss:1.2852 Accuracy: 27100/50000
