epoch [1/5000], loss:2.0062 Accuracy: 13599/50000
epoch [2/5000], loss:1.7328 Accuracy: 18579/50000
epoch [3/5000], loss:1.6265 Accuracy: 20520/50000
epoch [4/5000], loss:1.5581 Accuracy: 21755/50000
epoch [5/5000], loss:1.5077 Accuracy: 22779/50000
epoch [6/5000], loss:1.4648 Accuracy: 23550/50000
epoch [7/5000], loss:1.4301 Accuracy: 24226/50000
epoch [8/5000], loss:1.4038 Accuracy: 24778/50000
epoch [9/5000], loss:1.3805 Accuracy: 25290/50000
epoch [10/5000], loss:1.3620 Accuracy: 25619/50000
epoch [11/5000], loss:1.3429 Accuracy: 26001/50000
epoch [12/5000], loss:1.3266 Accuracy: 26379/50000
epoch [13/5000], loss:1.3122 Accuracy: 26590/50000
epoch [14/5000], loss:1.2983 Accuracy: 26899/50000
epoch [15/5000], loss:1.2827 Accuracy: 27223/50000
epoch [16/5000], loss:1.2704 Accuracy: 27433/50000
epoch [17/5000], loss:1.2577 Accuracy: 27671/50000
epoch [18/5000], loss:1.2449 Accuracy: 27974/50000
epoch [19/5000], loss:1.2329 Accuracy: 28242/50000
epoch [20/5000], loss:1.2204 Accuracy: 28419/50000
epoch [21/5000], loss:1.2091 Accuracy: 28642/50000
epoch [22/5000], loss:1.1992 Accuracy: 28911/50000
epoch [23/5000], loss:1.1870 Accuracy: 29088/50000
epoch [24/5000], loss:1.1787 Accuracy: 29272/50000
epoch [25/5000], loss:1.1685 Accuracy: 29490/50000
epoch [26/5000], loss:1.1571 Accuracy: 29608/50000
epoch [27/5000], loss:1.1480 Accuracy: 29858/50000
epoch [28/5000], loss:1.1387 Accuracy: 29969/50000
epoch [29/5000], loss:1.1279 Accuracy: 30192/50000
epoch [30/5000], loss:1.1206 Accuracy: 30280/50000
epoch [31/5000], loss:1.1137 Accuracy: 30483/50000
epoch [32/5000], loss:1.1048 Accuracy: 30606/50000
epoch [33/5000], loss:1.0975 Accuracy: 30677/50000
epoch [34/5000], loss:1.0897 Accuracy: 30896/50000
epoch [35/5000], loss:1.0820 Accuracy: 30992/50000
epoch [36/5000], loss:1.0736 Accuracy: 31227/50000
epoch [37/5000], loss:1.0658 Accuracy: 31332/50000
epoch [38/5000], loss:1.0606 Accuracy: 31483/50000
epoch [39/5000], loss:1.0525 Accuracy: 31553/50000
epoch [40/5000], loss:1.0466 Accuracy: 31619/50000
epoch [41/5000], loss:1.0412 Accuracy: 31792/50000
epoch [42/5000], loss:1.0351 Accuracy: 31880/50000
epoch [43/5000], loss:1.0292 Accuracy: 31988/50000
epoch [44/5000], loss:1.0236 Accuracy: 32081/50000
epoch [45/5000], loss:1.0165 Accuracy: 32196/50000
epoch [46/5000], loss:1.0118 Accuracy: 32307/50000
epoch [47/5000], loss:1.0068 Accuracy: 32373/50000
epoch [48/5000], loss:1.0025 Accuracy: 32509/50000
epoch [49/5000], loss:0.9964 Accuracy: 32502/50000
epoch [50/5000], loss:0.9904 Accuracy: 32738/50000
epoch [51/5000], loss:0.9855 Accuracy: 32713/50000
epoch [52/5000], loss:0.9802 Accuracy: 32930/50000
epoch [53/5000], loss:0.9770 Accuracy: 32930/50000
epoch [54/5000], loss:0.9703 Accuracy: 33048/50000
epoch [55/5000], loss:0.9673 Accuracy: 33069/50000
epoch [56/5000], loss:0.9612 Accuracy: 33226/50000
epoch [57/5000], loss:0.9587 Accuracy: 33199/50000
epoch [58/5000], loss:0.9524 Accuracy: 33335/50000
epoch [59/5000], loss:0.9476 Accuracy: 33487/50000
