6
epoch [1/1800], loss:2.1974 Accuracy: 9522/50000
epoch [2/1800], loss:1.9705 Accuracy: 14609/50000
epoch [3/1800], loss:1.8735 Accuracy: 16203/50000
epoch [4/1800], loss:1.7940 Accuracy: 17601/50000
epoch [5/1800], loss:1.7321 Accuracy: 18735/50000
epoch [6/1800], loss:1.6843 Accuracy: 19511/50000
epoch [7/1800], loss:1.6450 Accuracy: 20264/50000
epoch [8/1800], loss:1.6119 Accuracy: 20871/50000
epoch [9/1800], loss:1.5838 Accuracy: 21368/50000
epoch [10/1800], loss:1.5596 Accuracy: 21835/50000
epoch [11/1800], loss:1.5386 Accuracy: 22271/50000
epoch [12/1800], loss:1.5198 Accuracy: 22626/50000
epoch [13/1800], loss:1.5041 Accuracy: 22858/50000
epoch [14/1800], loss:1.4885 Accuracy: 23222/50000
epoch [15/1800], loss:1.4766 Accuracy: 23423/50000
epoch [16/1800], loss:1.4650 Accuracy: 23655/50000
epoch [17/1800], loss:1.4544 Accuracy: 23893/50000
epoch [18/1800], loss:1.4456 Accuracy: 24079/50000
epoch [19/1800], loss:1.4352 Accuracy: 24263/50000
epoch [20/1800], loss:1.4269 Accuracy: 24518/50000
epoch [21/1800], loss:1.4183 Accuracy: 24620/50000
epoch [22/1800], loss:1.4108 Accuracy: 24791/50000
epoch [23/1800], loss:1.4032 Accuracy: 24939/50000
epoch [24/1800], loss:1.3963 Accuracy: 25030/50000
epoch [25/1800], loss:1.3899 Accuracy: 25224/50000
epoch [26/1800], loss:1.3826 Accuracy: 25389/50000
epoch [27/1800], loss:1.3749 Accuracy: 25489/50000
epoch [28/1800], loss:1.3688 Accuracy: 25652/50000
epoch [29/1800], loss:1.3609 Accuracy: 25749/50000
epoch [30/1800], loss:1.3544 Accuracy: 25861/50000
epoch [31/1800], loss:1.3479 Accuracy: 25992/50000
epoch [32/1800], loss:1.3417 Accuracy: 26151/50000
epoch [33/1800], loss:1.3355 Accuracy: 26326/50000
epoch [34/1800], loss:1.3281 Accuracy: 26443/50000
epoch [35/1800], loss:1.3219 Accuracy: 26513/50000
epoch [36/1800], loss:1.3164 Accuracy: 26638/50000
epoch [37/1800], loss:1.3109 Accuracy: 26719/50000
epoch [38/1800], loss:1.3041 Accuracy: 26939/50000
epoch [39/1800], loss:1.2989 Accuracy: 27021/50000
