tensor(12378., dtype=torch.float64)
epoch [107/200], loss:2.0703 Accuracy: 11076/50000
epoch [108/200], loss:2.0737 Accuracy: 11081/50000
epoch [109/200], loss:2.0701 Accuracy: 11074/50000
epoch [110/200], loss:2.0728 Accuracy: 11138/50000
epoch [111/200], loss:2.0688 Accuracy: 11298/50000
epoch [112/200], loss:2.0737 Accuracy: 11117/50000
epoch [113/200], loss:2.0700 Accuracy: 11146/50000
epoch [114/200], loss:2.0689 Accuracy: 11011/50000
epoch [115/200], loss:2.0678 Accuracy: 11157/50000
epoch [116/200], loss:2.0696 Accuracy: 11231/50000
epoch [117/200], loss:2.0659 Accuracy: 11379/50000
epoch [118/200], loss:2.0666 Accuracy: 11093/50000
epoch [119/200], loss:2.0677 Accuracy: 11150/50000
epoch [120/200], loss:2.0656 Accuracy: 11268/50000
epoch [121/200], loss:2.0604 Accuracy: 11286/50000
epoch [122/200], loss:2.0613 Accuracy: 11185/50000
epoch [123/200], loss:2.0642 Accuracy: 11172/50000
epoch [124/200], loss:2.0596 Accuracy: 11169/50000
epoch [125/200], loss:2.0615 Accuracy: 10942/50000
epoch [126/200], loss:2.0643 Accuracy: 11133/50000
epoch [127/200], loss:2.0633 Accuracy: 11137/50000
epoch [128/200], loss:2.0616 Accuracy: 11141/50000
epoch [129/200], loss:2.0563 Accuracy: 11075/50000
epoch [130/200], loss:2.0629 Accuracy: 11135/50000
epoch [131/200], loss:2.0627 Accuracy: 11324/50000
epoch [132/200], loss:2.0629 Accuracy: 11253/50000
epoch [133/200], loss:2.0576 Accuracy: 11186/50000
epoch [134/200], loss:2.0605 Accuracy: 11203/50000
epoch [135/200], loss:2.0585 Accuracy: 11240/50000
epoch [136/200], loss:2.0586 Accuracy: 11260/50000
epoch [137/200], loss:2.0558 Accuracy: 11212/50000
epoch [138/200], loss:2.0556 Accuracy: 11232/50000
epoch [139/200], loss:2.0561 Accuracy: 11267/50000
epoch [140/200], loss:2.0548 Accuracy: 11255/50000
epoch [141/200], loss:2.0534 Accuracy: 11339/50000
epoch [142/200], loss:2.0500 Accuracy: 11229/50000
epoch [143/200], loss:2.0487 Accuracy: 11144/50000
epoch [144/200], loss:2.0528 Accuracy: 11226/50000
epoch [145/200], loss:2.0509 Accuracy: 10985/50000
epoch [146/200], loss:2.0511 Accuracy: 11163/50000
epoch [147/200], loss:2.0477 Accuracy: 11228/50000
epoch [148/200], loss:2.0511 Accuracy: 11423/50000
epoch [149/200], loss:2.0463 Accuracy: 11528/50000
epoch [150/200], loss:2.0469 Accuracy: 11194/50000
epoch [151/200], loss:2.0502 Accuracy: 11263/50000
Test set: Average loss: 2.1190, Accuracy: 2159/10000 (22%)

epoch [152/200], loss:2.0466 Accuracy: 11229/50000
epoch [153/200], loss:2.0463 Accuracy: 11383/50000
epoch [154/200], loss:2.0448 Accuracy: 11306/50000
epoch [155/200], loss:2.0433 Accuracy: 11241/50000
epoch [156/200], loss:2.0421 Accuracy: 11161/50000
epoch [157/200], loss:2.0422 Accuracy: 11340/50000
epoch [158/200], loss:2.0426 Accuracy: 11228/50000
epoch [159/200], loss:2.0428 Accuracy: 11348/50000
epoch [160/200], loss:2.0453 Accuracy: 11316/50000
epoch [161/200], loss:2.0356 Accuracy: 11367/50000
epoch [162/200], loss:2.0422 Accuracy: 11430/50000
